Date,CHNMAINLANDEPU_cleaned,Consumer Price Index_cleaned,DGS10_cleaned,Effective Funds Rate DFF_cleaned,GDP growth_cleaned,Historical Gold Prices_cleaned,M2SL_cleaned,MICH_cleaned,SP500_Historical_Prices_cleaned,T10Y2Y_cleaned,UMCSENT_cleaned,Unemployment Rate_cleaned,United States uncertainty index_cleaned,US Dollar Index (DXY)_cleaned
2022-07-12,359.977442421623,-0.0064407652985098,2.96,1.58,7.2,-0.5344827586206913,-0.0161704644157434,5.2,-0.9243878717321574,-0.07,51.5,3.5,126.67,108.07
2022-07-13,359.977442421623,-0.0064407652985098,2.91,1.58,7.2,-0.3524585427861604,-0.0161704644157434,5.2,-0.4456902512210092,-0.22,51.5,3.5,52.82,107.959999
2022-07-14,359.977442421623,-0.0064407652985098,2.96,1.58,7.2,-1.3858285979357454,-0.0161704644157434,5.2,-0.299863390215227,-0.19,51.5,3.5,203.03,108.540001
2022-07-15,359.977442421623,-0.0064407652985098,2.93,1.58,7.2,0.3233962486035135,-0.0161704644157434,5.2,1.920124935943668,-0.2,51.5,3.5,210.77,108.059998
2022-07-18,359.977442421623,-0.0064407652985098,2.96,1.58,7.2,0.7560661118274359,-0.0161704644157434,5.2,-0.8363571580831342,-0.19,51.5,3.5,182.94,107.370003
2022-07-19,359.977442421623,-0.0064407652985098,3.01,1.58,7.2,-0.3490198359606733,-0.0161704644157434,5.2,2.762829164595959,-0.22,51.5,3.5,177.18,106.68
2022-07-20,359.977442421623,-0.0064407652985098,3.04,1.58,7.2,-0.2218200922304514,-0.0161704644157434,5.2,0.5895806193263242,-0.21,51.5,3.5,113.33,107.080002
2022-07-21,359.977442421623,-0.0064407652985098,2.91,1.58,7.2,-0.2457146200198989,-0.0161704644157434,5.2,0.986137270919718,-0.19,51.5,3.5,132.76,106.910004
2022-07-22,359.977442421623,-0.0064407652985098,2.77,1.58,7.2,1.8708580141927111,-0.0161704644157434,5.2,-0.9332466976346708,-0.21,51.5,3.5,138.82,106.730003
2022-07-25,359.977442421623,-0.0064407652985098,2.81,1.58,7.2,-1.042026482440983,-0.0161704644157434,5.2,0.131516704796919,-0.19,51.5,3.5,120.62,106.480003
2022-07-26,359.977442421623,-0.0064407652985098,2.81,1.58,7.2,0.0698120891267528,-0.0161704644157434,5.2,-1.154320266205866,-0.21,51.5,3.5,94.68,107.190002
2022-07-27,359.977442421623,-0.0064407652985098,2.78,1.58,7.2,-0.3488169292482967,-0.0161704644157434,5.2,2.615627378293772,-0.18,51.5,3.5,181.99,106.449997
2022-07-28,359.977442421623,-0.0064407652985098,2.68,2.33,7.2,2.2985823464208632,-0.0161704644157434,5.2,1.2133338697180918,-0.17,51.5,3.5,111.0,106.349998
2022-07-29,359.977442421623,-0.0064407652985098,2.67,2.32,7.2,-0.0057028799543723,-0.0161704644157434,5.2,1.4207760082581844,-0.22,51.5,3.5,130.23,105.900002
2022-08-01,260.880966957428,0.0786501998460975,2.6,2.33,7.2,1.0836089882513944,-0.0762445184812055,4.8,-0.2823084127197672,-0.3,58.2,3.6,141.32,105.449997
2022-08-02,260.880966957428,0.0786501998460975,2.75,2.33,7.2,0.4175129767546748,-0.0762445184812055,4.8,-0.6662395550704803,-0.31,58.2,3.6,96.66,106.239998
2022-08-03,260.880966957428,0.0786501998460975,2.73,2.33,7.2,-1.0394426340038176,-0.0762445184812055,4.8,1.5638477163140152,-0.37,58.2,3.6,115.69,106.510002
2022-08-04,260.880966957428,0.0786501998460975,2.68,2.33,7.2,1.2433997615397765,-0.0762445184812055,4.8,-0.0777340164055839,-0.35,58.2,3.6,78.43,105.690002
2022-08-05,260.880966957428,0.0786501998460975,2.83,2.33,7.2,-0.5551816958277334,-0.0762445184812055,4.8,-0.1625746059735533,-0.41,58.2,3.6,107.43,106.620003
2022-08-08,260.880966957428,0.0786501998460975,2.77,2.33,7.2,0.6090340043985787,-0.0762445184812055,4.8,-0.1237550723854119,-0.44,58.2,3.6,227.88,106.440002
2022-08-09,260.880966957428,0.0786501998460975,2.8,2.33,7.2,0.6277675018216522,-0.0762445184812055,4.8,-0.4248692893594086,-0.48,58.2,3.6,189.05,106.370003
2022-08-10,260.880966957428,0.0786501998460975,2.78,2.33,7.2,-0.0111401994095761,-0.0762445184812055,4.8,2.1290637641290244,-0.45,58.2,3.6,84.3,105.199997
2022-08-11,260.880966957428,0.0786501998460975,2.87,2.33,7.2,0.0891315247061541,-0.0762445184812055,4.8,-0.07054739583503,-0.36,58.2,3.6,99.36,105.089996
2022-08-12,260.880966957428,0.0786501998460975,2.84,2.33,7.2,-0.2560249346023391,-0.0762445184812055,4.8,1.7322368774566943,-0.41,58.2,3.6,48.55,105.629997
2022-08-15,260.880966957428,0.0786501998460975,2.79,2.33,7.2,-0.8649070922381541,-0.0762445184812055,4.8,0.3969541899851769,-0.41,58.2,3.6,145.63,106.550003
2022-08-16,260.880966957428,0.0786501998460975,2.82,2.33,7.2,-0.0956883935607222,-0.0762445184812055,4.8,0.1875679716581091,-0.43,58.2,3.6,103.94,106.5
2022-08-17,260.880966957428,0.0786501998460975,2.89,2.33,7.2,-0.4338272578736868,-0.0762445184812055,4.8,-0.7237794954094601,-0.39,58.2,3.6,75.77,106.57
2022-08-18,260.880966957428,0.0786501998460975,2.88,2.33,7.2,-0.0905387052965167,-0.0762445184812055,4.8,0.2269561170191503,-0.34,58.2,3.6,92.67,107.480003
2022-08-19,260.880966957428,0.0786501998460975,2.98,2.33,7.2,-0.8382419574082478,-0.0762445184812055,4.8,-1.2900001139847903,-0.27,58.2,3.6,98.49,108.169998
2022-08-22,260.880966957428,0.0786501998460975,3.03,2.33,7.2,-0.9995430660269644,-0.0762445184812055,4.8,-2.14000649197158,-0.29,58.2,3.6,169.02,109.050003
2022-08-23,260.880966957428,0.0786501998460975,3.05,2.33,7.2,0.7673224485086116,-0.0762445184812055,4.8,-0.2237862677713309,-0.24,58.2,3.6,93.31,108.620003
2022-08-24,260.880966957428,0.0786501998460975,3.11,2.33,7.2,-0.0515286843009166,-0.0762445184812055,4.8,0.2916160446301052,-0.25,58.2,3.6,137.29,108.68
2022-08-25,260.880966957428,0.0786501998460975,3.03,2.33,7.2,0.4525405281548877,-0.0762445184812055,4.8,1.4091605518061543,-0.32,58.2,3.6,66.37,108.470001
2022-08-26,260.880966957428,0.0786501998460975,3.04,2.33,7.2,-0.1311587591240837,-0.0762445184812055,4.8,-3.3688058719518743,-0.33,58.2,3.6,121.88,108.800003
2022-08-29,260.880966957428,0.0786501998460975,3.12,2.33,7.2,0.0,-0.0762445184812055,4.8,-0.6666355799502699,-0.3,58.2,3.6,97.52,108.839996
2022-08-30,260.880966957428,0.0786501998460975,3.11,2.33,7.2,-1.1991092331410935,-0.0762445184812055,4.8,-1.1028155571448206,-0.35,58.2,3.6,83.23,108.769997
2022-08-31,260.880966957428,0.0786501998460975,3.15,2.33,7.2,-0.832225625614047,-0.0762445184812055,4.8,-0.7817025105971265,-0.3,58.2,3.6,126.46,108.699997
2022-09-01,242.556936393941,0.3834571439217615,3.26,2.33,7.2,-1.2588146162363811,-0.5424427961007172,4.7,0.2996232024336187,-0.25,58.6,3.5,75.93,109.690002
2022-09-02,242.556936393941,0.3834571439217615,3.2,2.33,7.2,1.0741899309449463,-0.5424427961007172,4.7,-1.0736500458081055,-0.2,58.6,3.5,65.23,109.529999
2022-09-05,242.556936393941,0.3834571439217615,3.2,2.33,7.2,-0.0875912408759171,-0.5424427961007172,4.7,0.0,-0.2,58.6,3.5,158.69,109.529999
2022-09-06,242.556936393941,0.3834571439217615,3.33,2.33,7.2,-0.4909409701928768,-0.5424427961007172,4.7,-0.4095056983834944,-0.17,58.6,3.5,91.55,110.209999
2022-09-07,242.556936393941,0.3834571439217615,3.27,2.33,7.2,0.0058733701397972,-0.5424427961007172,4.7,1.8341016392734,-0.18,58.6,3.5,87.66,109.839996
2022-09-08,242.556936393941,0.3834571439217615,3.29,2.33,7.2,0.3934926880836409,-0.5424427961007172,4.7,0.6610721877456038,-0.19,58.6,3.5,47.62,109.709999
